id,question,gold,pred,correct,latency,raw
0,"A frog lays her eggs over a series of 4 days.  The first day she lays 50 eggs.  The second day, she doubles her production of eggs.  The third day she lays 20 more than the second day, and the last day she doubles the first three days total.  How many eggs did the frog lay over the span of the 4 days?",810,810,True,3.0496420860290527,"Okay, let's break this problem down step by step.

**Step 1: Find the number of eggs laid on the second day.**

The frog doubles her production from the first day.  The first day she laid 50 eggs.
So,..."
1,"Suzanne wants to raise money for charity by running a 5-kilometer race. Her parents have pledged to donate $10 for her first kilometer and double the donation for every successive kilometer. If Suzanne finishes the race, how much money will her parents donate?",310,310,True,2.5488088130950928,"Okay, let's break this problem down step by step.

**1. Understand the Donation Pattern**

Suzanne's parents donate $10 for the first kilometer.  For each subsequent kilometer, the donation doubles. T..."
2,"John runs a website that gets 30000 visits a month, for a normal 30 day month.  He gets $.01 per visit.  How much does he make per day?",10,10,True,1.7655248641967773,"Okay, let's break this problem down step by step.

1. **Calculate the total monthly earnings:**
   * John gets $0.01 per visit.
   * He gets 30000 visits per month.
   * Total monthly earnings = $0.01..."
3,"Ariel began fencing in 2006. If she was born in 1992 and has been fencing for 16 years, how old is she now?",30,30,True,4.421251058578491,"Okay, let's break this problem down step by step.

1. **Find Ariel's age in 2006:** Ariel was born in 1992.  In 2006, her age was 2006 - 1992 = 14 years old.

2. **Calculate her age now:** She started..."
4,"At the park, Dimitri saw families riding bicycles and tricycles. Bicycles have two wheels and tricycles have three wheels.  6 adults were riding bicycles and 15 children were riding tricycles.   How many wheels did Dimitri see at the park?",57,57,True,1.9206559658050537,"Okay, let's break this problem down step by step.

1. **Wheels on bicycles:** Each bicycle has 2 wheels, and Dimitri saw 6 adults riding bicycles. So, the total number of bicycle wheels is 6 adults * ..."
5,"Andrew installed hardwood flooring in his house. His bedroom took eight wooden planks, his living room took twenty planks, and his kitchen took eleven planks. The guest bedroom took two fewer planks than Andrew’s bedroom, and each of his two hallways took four planks. He accidentally ruined three planks in each bedroom by dragging furniture over them and had to replace them. He ended up with six leftover planks at the end. How many wooden planks did Andrew buy to start with?",65,59,False,2.9275429248809814,"Okay, let's break this problem down step by step.

1. **Planks in the guest bedroom:** The guest bedroom took two fewer planks than Andrew's bedroom, which used eight planks. So, the guest bedroom use..."
6,An unusual bicycle has 20 spokes on the front wheel and twice as many spokes on the back wheel. How many spokes does the bicycle have?,60,60,True,1.9420139789581299,"Okay, let's break this problem down step by step.

1. **Find the number of spokes on the back wheel:** The problem states that the back wheel has twice as many spokes as the front wheel. The front whe..."
7,William and Harry played 15 rounds of tic-tac-toe.  William won 5 more rounds than Harry.  How many rounds did William win?,10,10,True,2.7659120559692383,"Okay, let's break this problem down step by step.

1. **Define variables:**
   * Let 'w' be the number of rounds William won.
   * Let 'h' be the number of rounds Harry won.

2. **Set up equations bas..."
8,"Tommy is making steaks for his family. There are 5 of them in total. If each member wants one pound and the steaks are 20 ounces each, how many does he need to buy?",4,4,True,2.151854991912842,"Okay, let's break this problem down step by step.

1. **Total weight needed:** Tommy needs to provide 5 people * 1 pound/person = 5 pounds of steak.

2. **Convert pounds to ounces:** We know that 1 po..."
9,"Summer and Jolly both went to the same middle school. However, when they finished college, Summer had five more degrees than Jolly. If Summer has a total of 150 degrees, what's the combined number of degrees they both have?",295,295,True,2.7018187046051025,"Okay, let's break this problem down step by step.

1. **Understand the relationship:** We know that Summer has 5 more degrees than Jolly. This means Summer's degree count is Jolly's degree count plus ..."
